Lang	Sent_id	S_length	Dependency	DL
\de	1	1	(0, 1)	1
\de	2	3	(1, 2)	1
\de	2	3	(2, 3)	1
\de	2	3	(0, 1)	1
\de	7	10	(1, 4)	3
\de	7	10	(3, 2)	1
\de	7	10	(4, 3)	1
\de	7	10	(5, 1)	4
\de	7	10	(5, 8)	3
\de	7	10	(5, 10)	5
\de	7	10	(8, 6)	2
\de	7	10	(8, 7)	1
\de	7	10	(10, 9)	1
\de	7	10	(0, 5)	5
\de	12	1	(0, 1)	1
\de	13	5	(1, 2)	1
\de	13	5	(2, 3)	1
\de	13	5	(3, 4)	1
\de	13	5	(4, 5)	1
\de	13	5	(0, 1)	1
\de	19	11	(2, 1)	1
\de	19	11	(3, 2)	1
\de	19	11	(3, 11)	8
\de	19	11	(4, 6)	2
\de	19	11	(6, 5)	1
\de	19	11	(7, 9)	2
\de	19	11	(9, 8)	1
\de	19	11	(10, 4)	6
\de	19	11	(10, 7)	3
\de	19	11	(11, 10)	1
\de	19	11	(0, 3)	3
\de	20	11	(1, 2)	1
\de	20	11	(2, 3)	1
\de	20	11	(4, 1)	3
\de	20	11	(4, 5)	1
\de	20	11	(4, 6)	2
\de	20	11	(4, 9)	5
\de	20	11	(6, 7)	1
\de	20	11	(9, 8)	1
\de	20	11	(9, 10)	1
\de	20	11	(10, 11)	1
\de	20	11	(0, 4)	4
\de	21	4	(1, 2)	1
\de	21	4	(1, 3)	2
\de	21	4	(3, 4)	1
\de	21	4	(0, 1)	1
\de	29	5	(2, 1)	1
\de	29	5	(2, 3)	1
\de	29	5	(2, 4)	2
\de	29	5	(2, 5)	3
\de	29	5	(0, 2)	2
\de	31	10	(3, 1)	2
\de	31	10	(3, 2)	1
\de	31	10	(4, 3)	1
\de	31	10	(4, 5)	1
\de	31	10	(4, 6)	2
\de	31	10	(4, 8)	4
\de	31	10	(8, 7)	1
\de	31	10	(8, 10)	2
\de	31	10	(10, 9)	1
\de	31	10	(0, 4)	4
\de	35	7	(1, 2)	1
\de	35	7	(3, 1)	2
\de	35	7	(3, 8)	5
\de	35	7	(5, 7)	2
\de	35	7	(7, 6)	1
\de	35	7	(8, 5)	3
\de	35	7	(0, 3)	3
\de	40	6	(2, 1)	1
\de	40	6	(3, 2)	1
\de	40	6	(3, 4)	1
\de	40	6	(4, 6)	2
\de	40	6	(6, 5)	1
\de	40	6	(0, 3)	3
\de	46	6	(2, 1)	1
\de	46	6	(2, 4)	2
\de	46	6	(4, 3)	1
\de	46	6	(4, 5)	1
\de	46	6	(5, 6)	1
\de	46	6	(0, 2)	2
\de	59	12	(2, 1)	1
\de	59	12	(2, 4)	2
\de	59	12	(2, 14)	12
\de	59	12	(4, 3)	1
\de	59	12	(4, 9)	5
\de	59	12	(6, 8)	2
\de	59	12	(8, 7)	1
\de	59	12	(9, 10)	1
\de	59	12	(10, 6)	4
\de	59	12	(12, 13)	1
\de	59	12	(14, 12)	2
\de	59	12	(0, 2)	2
\de	61	7	(2, 1)	1
\de	61	7	(3, 2)	1
\de	61	7	(3, 5)	2
\de	61	7	(5, 4)	1
\de	61	7	(5, 6)	1
\de	61	7	(6, 7)	1
\de	61	7	(0, 3)	3
\de	67	6	(2, 1)	1
\de	67	6	(2, 3)	1
\de	67	6	(2, 6)	4
\de	67	6	(5, 4)	1
\de	67	6	(6, 5)	1
\de	67	6	(0, 2)	2
\de	68	5	(1, 2)	1
\de	68	5	(1, 6)	5
\de	68	5	(2, 4)	2
\de	68	5	(4, 3)	1
\de	68	5	(0, 1)	1
\de	76	12	(2, 1)	1
\de	76	12	(2, 11)	9
\de	76	12	(2, 12)	10
\de	76	12	(3, 5)	2
\de	76	12	(5, 4)	1
\de	76	12	(6, 9)	3
\de	76	12	(9, 7)	2
\de	76	12	(9, 8)	1
\de	76	12	(11, 10)	1
\de	76	12	(12, 3)	9
\de	76	12	(12, 6)	6
\de	76	12	(0, 2)	2
\de	78	10	(2, 1)	1
\de	78	10	(2, 5)	3
\de	78	10	(5, 3)	2
\de	78	10	(5, 4)	1
\de	78	10	(6, 2)	4
\de	78	10	(6, 10)	4
\de	78	10	(8, 7)	1
\de	78	10	(9, 8)	1
\de	78	10	(10, 9)	1
\de	78	10	(0, 6)	6
\de	79	7	(2, 1)	1
\de	79	7	(3, 2)	1
\de	79	7	(3, 7)	4
\de	79	7	(4, 5)	1
\de	79	7	(6, 3)	3
\de	79	7	(7, 4)	3
\de	79	7	(0, 6)	6
\de	82	8	(1, 4)	3
\de	82	8	(1, 5)	4
\de	82	8	(4, 2)	2
\de	82	8	(4, 3)	1
\de	82	8	(5, 6)	1
\de	82	8	(6, 8)	2
\de	82	8	(8, 7)	1
